timestamp ba_x ba_y ba_z bg_x bg_y bg_z
432.580000 0.95862635 0.04719644 0.05161540 -0.00121002 0.00124414 0.00083811
433.108000 0.95988073 0.04761996 0.05172474 -0.00121402 0.00123773 0.00090744
433.468000 0.95771826 0.04873794 0.05142217 -0.00119333 0.00124510 0.00091299
434.512000 0.95696145 0.05033583 0.05121820 -0.00119764 0.00124914 0.00096118
435.504000 0.95877598 0.04657965 0.05143659 -0.00127344 0.00126100 0.00098172
436.276000 0.96363204 0.04869633 0.05245862 -0.00130218 0.00126453 0.00098795
436.916000 0.96237688 0.04788167 0.05228794 -0.00131993 0.00126506 0.00102104
437.536000 0.96213912 0.04773972 0.05231066 -0.00132381 0.00127084 0.00105454
437.680000 0.95334495 0.04722503 0.05136579 -0.00131841 0.00126757 0.00108030
438.060000 0.89981168 0.06292520 0.04547217 -0.00129960 0.00127167 0.00113156
438.688000 0.89937891 0.06188382 0.04546657 -0.00128801 0.00126899 0.00117244
439.288000 0.89672423 0.06094726 0.04521021 -0.00129509 0.00127337 0.00121315
439.832000 0.89835139 0.05947220 0.04534091 -0.00128061 0.00129122 0.00120064
441.680000 0.89071784 0.05827498 0.04452996 -0.00127040 0.00130707 0.00121320
442.504000 0.88555385 0.06785759 0.04387002 -0.00130559 0.00129612 0.00124505
443.616000 0.88218311 0.06244818 0.04371577 -0.00136300 0.00128057 0.00125786
443.936000 0.85744969 0.03615771 0.04155238 -0.00143311 0.00128489 0.00125046
444.492000 0.85054097 0.02876330 0.04089697 -0.00144760 0.00130706 0.00125303
445.524000 0.83318326 0.02937348 0.03966374 -0.00148073 0.00131253 0.00129112
446.252000 0.83311160 0.02895964 0.04000413 -0.00147922 0.00132909 0.00132008
446.940000 0.82636248 0.04196284 0.03938968 -0.00145319 0.00133708 0.00129327
448.760000 0.79056326 0.05191251 0.03497628 -0.00146677 0.00133818 0.00123395
449.552000 0.78316583 0.05233902 0.03403068 -0.00149323 0.00132875 0.00126066
449.940000 0.77962972 0.06039937 0.03361220 -0.00150018 0.00135858 0.00129561
450.564000 0.77820806 0.05727689 0.03355305 -0.00147678 0.00134579 0.00130565
451.196000 0.77539175 0.05888037 0.03337734 -0.00145430 0.00135814 0.00128482
452.272000 0.77594075 0.05859694 0.03335135 -0.00145788 0.00136439 0.00134310
452.816000 0.78438235 0.05758278 0.03430830 -0.00143734 0.00138309 0.00137043
453.044000 0.78246024 0.06046718 0.03412967 -0.00142484 0.00138996 0.00138074
453.300000 0.78730602 0.05443671 0.03448143 -0.00142293 0.00138867 0.00135642
453.920000 0.77584010 0.06989322 0.03353032 -0.00143024 0.00137948 0.00140715
454.268000 0.77210122 0.07296119 0.03321859 -0.00140841 0.00138377 0.00138305
454.988000 0.77502665 0.08364520 0.03375137 -0.00142393 0.00139725 0.00140095
456.332000 0.77690929 0.06425459 0.03413893 -0.00139472 0.00139891 0.00137477
456.716000 0.77943603 0.05824665 0.03447039 -0.00141221 0.00139645 0.00137249
457.700000 0.77646255 0.05010431 0.03431375 -0.00140534 0.00138818 0.00137543
458.044000 0.77466322 0.04363613 0.03437986 -0.00138292 0.00139858 0.00138125
459.760000 0.77245405 0.04110044 0.03428895 -0.00136488 0.00142579 0.00136162
459.888000 0.76782061 0.04201732 0.03373966 -0.00136232 0.00143869 0.00134585
460.340000 0.77128427 0.04938440 0.03408689 -0.00138184 0.00142941 0.00135113
460.736000 0.77441813 0.04676112 0.03442585 -0.00139177 0.00144176 0.00134478
460.860000 0.76673852 0.04684249 0.03359552 -0.00139261 0.00142469 0.00133727
461.444000 0.76697110 0.04288294 0.03368831 -0.00141020 0.00142302 0.00135239
461.752000 0.76777422 0.04192131 0.03373252 -0.00141700 0.00142313 0.00134975
462.964000 0.76908942 0.03131730 0.03426023 -0.00145035 0.00145948 0.00137597
463.712000 0.77129892 0.02695927 0.03457116 -0.00146920 0.00145039 0.00142397
464.484000 0.75987333 0.02431893 0.03320736 -0.00145348 0.00144822 0.00145634
464.952000 0.75090358 0.02595571 0.03219564 -0.00146436 0.00145404 0.00147679
465.228000 0.74402194 0.02682579 0.03134553 -0.00148522 0.00146536 0.00149672
465.424000 0.73894797 0.02639927 0.03075673 -0.00149362 0.00144876 0.00147635
466.272000 0.73981331 0.02601385 0.03080871 -0.00152136 0.00145620 0.00147052
467.392000 0.74211566 0.02561829 0.03114413 -0.00154095 0.00146314 0.00147424
468.568000 0.74457059 0.02569750 0.03141756 -0.00155989 0.00147735 0.00150537
469.172000 0.74723785 0.02384031 0.03179644 -0.00156710 0.00147878 0.00151176
470.380000 0.74576121 0.02494006 0.03204974 -0.00158107 0.00149648 0.00156979
471.096000 0.74343435 0.02285542 0.03222878 -0.00158531 0.00151509 0.00159557
473.196000 0.74046486 0.01612853 0.03202766 -0.00158937 0.00156811 0.00165073
474.592000 0.72729250 0.02046751 0.03044351 -0.00158214 0.00153901 0.00168948
475.600000 0.72421609 0.02091322 0.03024465 -0.00157143 0.00151594 0.00171821
476.268000 0.71878972 0.02162611 0.02972205 -0.00159734 0.00152739 0.00173319
476.592000 0.71728398 0.02197396 0.02972449 -0.00161760 0.00153739 0.00175363
476.992000 0.71647760 0.02371648 0.02978060 -0.00161927 0.00154056 0.00175204
477.544000 0.71759348 0.02359262 0.03007003 -0.00162407 0.00154246 0.00177022
